video_file_name,frame_number,patch_name,connected_component_area,bounding_box_area,initial_plano_featues,initial_query_features,good_matches,very_good_matches,ratio
IBOT.MOV,200,3,1333,2825,0,0,,,-1
IBOT.MOV,200,10,1239,3201,0,0,,,-1
IBOT.MOV,200,30,716,2009,0,0,,,-1
IBOT.MOV,200,31,1001,2665,0,0,,,-1
IBOT.MOV,200,37,718,2009,0,0,,,-1
IBOT.MOV,200,42,1284,3705,0,0,,,-1
IBOT.MOV,200,61,810,2009,0,0,,,-1
IBOT.MOV,200,137,1000,2665,0,0,,,-1
integrity,1
IBOT.MOV,300,79,717,2009,0,0,,,-1
IBOT.MOV,300,132,1099,3201,0,0,,,-1
integrity,1
IBOT.MOV,400,15,715,1681,0,0,,,-1
IBOT.MOV,400,59,1475,4161,0,0,,,-1
integrity,1
IBOT.MOV,500,7,1479,3977,0,0,,,-1
IBOT.MOV,500,10,717,1825,0,0,,,-1
IBOT.MOV,500,12,955,2225,0,0,,,-1
IBOT.MOV,500,36,719,2009,0,0,,,-1
IBOT.MOV,500,44,952,2337,0,0,,,-1
IBOT.MOV,500,50,1472,3705,0,0,,,-1
IBOT.MOV,500,68,1286,3185,0,0,,,-1
IBOT.MOV,500,131,1620,4161,0,0,,,-1
integrity,1
IBOT.MOV,600,56,862,2009,0,0,,,-1
IBOT.MOV,600,58,718,2025,0,0,,,-1
integrity,1
IBOT.MOV,700,30,1098,2665,0,0,,,-1
IBOT.MOV,700,56,953,2009,0,0,,,-1
IBOT.MOV,700,61,809,1681,0,0,,,-1
IBOT.MOV,700,62,1858,4633,0,0,,,-1
IBOT.MOV,700,77,716,2009,0,0,,,-1
integrity,1
IBOT.MOV,800,10,1236,2025,0,0,,,-1
IBOT.MOV,800,67,5440,11025,79,0,,,0
IBOT.MOV,800,72,813,2025,0,0,,,-1
IBOT.MOV,800,108,2797,6305,0,0,,,-1
IBOT.MOV,800,118,5693,13673,0,0,,,-1
IBOT.MOV,800,120,4933,11865,23,0,,,0
IBOT.MOV,800,137,1616,3705,0,0,,,-1
integrity,0
IBOT.MOV,900,49,763,1881,0,0,,,-1
IBOT.MOV,900,62,761,1353,0,0,,,-1
IBOT.MOV,900,63,715,1681,0,0,,,-1
IBOT.MOV,900,73,5155,10185,70,0,,,0
IBOT.MOV,900,120,716,1881,0,0,,,-1
integrity,0
IBOT.MOV,1000,61,1143,2401,0,0,,,-1
IBOT.MOV,1000,63,1146,3185,0,0,,,-1
IBOT.MOV,1000,75,6143,10769,78,0,,,0
IBOT.MOV,1000,79,1330,2993,0,0,,,-1
IBOT.MOV,1000,124,1991,4161,0,0,,,-1
IBOT.MOV,1000,131,1001,2145,0,0,,,-1
integrity,0
IBOT.MOV,1100,63,1520,3705,0,0,,,-1
IBOT.MOV,1100,80,858,1881,0,0,,,-1
IBOT.MOV,1100,87,5626,10185,70,0,,,0
IBOT.MOV,1100,160,2564,5785,0,0,,,-1
integrity,0
IBOT.MOV,1200,61,1094,2793,0,0,,,-1
IBOT.MOV,1200,64,812,2009,0,0,,,-1
IBOT.MOV,1200,73,858,2145,0,0,,,-1
IBOT.MOV,1200,77,5717,10961,82,0,,,0
integrity,0
IBOT.MOV,1300,67,857,1681,0,0,,,-1
IBOT.MOV,1300,69,7002,17673,139,5,73,5,0.0410959
IBOT.MOV,1300,79,956,2409,0,0,,,-1
IBOT.MOV,1300,115,2706,6897,0,0,,,-1
IBOT.MOV,1300,165,999,2337,0,0,,,-1
IBOT.MOV,1300,173,764,1681,0,0,,,-1
integrity,0
IBOT.MOV,1400,4,957,2425,0,0,,,-1
IBOT.MOV,1400,75,1000,2337,0,0,,,-1
IBOT.MOV,1400,81,5389,9345,58,0,,,0
IBOT.MOV,1400,148,1804,4361,0,0,,,-1
integrity,0
IBOT.MOV,1500,2,2848,6897,0,0,,,-1
IBOT.MOV,1500,74,861,2009,0,0,,,-1
IBOT.MOV,1500,76,953,1881,0,0,,,-1
IBOT.MOV,1500,80,5535,11737,101,0,,,0
